Due_By,Priority,Bid_Sent,Bid_Sender,Bid_Sender_Num,Bid_Num,Time,Job_Name,File,Status,Job_Num,General_Contractor,Addendum,Remarks,EST,WT,TE,MBE,%,Results
29-Jun,,,,,18-350,2:00:00 P.M.,Aerospace & 3rd Floor Common Corridor,#NAME?,,,Trinity Group Construction,yes,,KE,,,,,Not Awarded
29-Jun,A,,,,18-398,,Corridor Marketplace,#NAME?,,,Merrit Properties,,,DS KE,,,,,
29-Jun,,,,,18-377,,Falls Road House Demo,#NAME?,,,Chip Miller,,,CB,,,,,
29-Jun,No Bid,,,,18-387,4:00:00 P.M.,Harbor Courts Multi Floor,#NAME?,,,"KasCon, Inc",yes,,,tentative 6/22 10,,,,
2-Jul,,,,,18-392,2:00:00 P.M.,Dr. Hoofnagle North Park Center,#NAME?,,,Mustang Construction Company,,,,,,,,
2-Jul,,,,,18-412,,OCV Dumpster Pad,#NAME?,,,Oak Crest Village,,,,,,,,
2-Jul,,,,,18-391,12:00:00 P.M.,Sacred Heart Convent,#NAME?,,,Mustang Construction Company,,,,,,,,
2-Jul,,,,,18-369,4:00:00 P.M.,Sinclair Broadcasting,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,difficult download please check file,,6/18 2:00:00 P.M.,,,,
3-Jul,,,,,18-416,2:00:00 P.M.,JHI White Marsh Mammo & Rad Rm Renovations,#NAME?,,,Consolidated Medical Services,,,,,,,,
5-Jul,,,,,18-381,2:00:00 P.M.,JHU 2024 Suite B 1000,#NAME?,,,"Strayer Contracting, Inc",,,,,,,,
5-Jul,,,,,18-381,1:00:00 P.M.,JHU SOM 2024 Building Suite B -1000,#NAME?,,,Lyons Construction,,formerly            18-402,,,,,,
5-Jul,,,,,18-403,,Smithsonian Bird House,#NAME?,,,Brock Group,,,,,,,,
6-Jul,,,,,18-396,5:00:00 P.M.,Heartland Dental,#NAME?,,,"Hanna Design Group, Inc",,,,,,,,
6-Jul,,,,,18-418,,Grace Assembly of God,#NAME?,,,Trionfo Builders Group,,,,,,,,
9-Jul,,,,,18-396,10:00:00 A.M.,Heartland Dental,#NAME?,,,"Ryan Contractors, Inc",,,,,,,,
9-Jul,,,,,18-424,4:00:00 P.M.,JHU Homewood Olin Hall 143 Renovations,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,,,,,,
10-Jul,No Bid,,,,18-395,4:00:00 P.M.,JHCP Germantown Expansion,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,,,,,,
10-Jul,,,,,18-382,12:00:00 P.M.,MHMH Ground Floor MRI Replacement,#NAME?,,,Whiting-Turner Contracting,yes,,,,,,,
10-Jul,No Bid,,,,18-368,,Selby's Landing Boat Ramp,#NAME?,,,Maryland Dept of Parks & Rec,,,,26-Jun,,,,
10-Jul,,,,,18-394,,UMB Demo Project,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,,,,,,
10-Jul,,,,,18-422,2:00:00 P.M.,River of Life Daycare,#NAME?,,,Mustang Construction Company,,,,,,,,
10-Jul,No Bid,,,,18-424,1:00:00 P.M.,JHU Homewood Olin Hall 143 Renovations,#NAME?,,,Lyons Construction,,,,,,,,
10-Jul,,,,,18-399,9:00:00 A.M.,NG 800 International Dr,#NAME?,,,Lewis Contractors,,,,,,,,
11-Jul,No Bid,,,,18-386,,"Raze House & Garage, Severn Run NEA Anne Arundel County",#NAME?,,,Emaryland,,can't see drawings & specs,,,,,,
11-Jul,,,,,18-382,2:00:00 P.M.,MHMH Ground Floor MRI Replacement,#NAME?,,,"Shade Construction, Inc",yes,,,,,,,
11-Jul,,,,,18-425,,DHL BWI,#NAME?,,,Arco Murray,,,,,,,,
11-Jul,,,,,18-428,12:00:00 P.M.,Pilot Truck Care Hagerstown,#NAME?,,,Osage Contractors,,drawings not downloaded,DS KE,,,,,
12-Jul,C,,,,18-407,12:00:00 P.M.,BVSL - Severna Park Wellspring Village,#NAME?,,,"Scott Long Construction, Inc.",,,,7/3/22 8:00,,,,
12-Jul,,,,,18-423,,PWC Dock Levelers & Trenches,#NAME?,,,Merrit Properties,,,,,,,,
13-Jul,,,,,18-426,12:00:00 P.M.,UMBC Chesapeake Hall,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,,,,
13-Jul,,,,,18-399,10:00:00 A.M.,NG 800 International Dr,#NAME?,,,Manekin,yes,,,6/27      1:00:00 P.M.,,,,
13-Jul,,,,,18-426,2:00:00 P.M.,UMBC Chesapeake Hall,#NAME?,,,North Point Builders,,,,,,,,
13-Jul,,,,,18-443,145:00:00 P.M.,Perryville Town Hall Phase II,#NAME?,,,Rocchi Construction,yes,drawings not downloaded,CB,,,,,
15-Jul,,,,,18-393,,OCV Calvert Court 2222.2224,#NAME?,,,G & I Drywall,,,,,,,,
16-Jul,A,,,,18-408,12:00:00 P.M.,Loyola University Campion Tower Laundry Room,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,7/3    930am,,,,
16-Jul,A,,,,18-408,5:00:00 P.M.,Loyola University Campion Tower Laundry Room,#NAME?,,,Plano-Coudon LLC,,,,,,,,
16-Jul,,,,,18-437,,Midway Liquors Cooler Addition,#NAME?,,,M & T Construction,,,CB,,,,,
16-Jul,,,,,18-438,,New Shiloh Baptist,#NAME?,,,Trionfo Builders Group,,,,,,,,
16-Jul,,,,,18-440,,8895 Yellowbrick Rd Wheel Chair Lift,#NAME?,,,Merrit Properties,,,,,,,,
16-Jul,,,,,18-444,,9321 Philadlephia Rd Concrete Work,#NAME?,,,Merrit Properties,,,CB,,,,,
16-Jul,,,,,18-445,,Route 40 Mosque,#NAME?,,180086,Herb Schafer Asphalt Pavement,,,CB,,,,,Awarded
18-Jul,,,,,18-414,10:00:00 A.M.,Weis #123,#NAME?,,,Marco Contractors,,,,,,,,
18-Jul,,,,,18-414,5:00:00 P.M.,Weis #123,#NAME?,,,Doyle Construction,,,,,,,,
18-Jul,,,CB,,18-435,,Life Fitness Phyical Therapy,#NAME?,,,"Shade Construction, Inc",,,,7/12 CB,,,,
19-Jul,,,,,18-419,4:00:00 P.M.,Leidos Lab Renovation @ Ft Detrick,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,KE,7/2 11:00:00 A.M.,,,,
19-Jul,,,,,18-427,,Archdiocese Holy Name of Jesus Elevator Installation,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,,,,,,
19-Jul,,,,,18-434,12:00:00 P.M.,AWF,#NAME?,,,"KasCon, Inc",yes,,,7/12 10:00:00 A.M.,,,,
19-Jul,,,,,18-434,4:00:00 P.M.,AWF,#NAME?,,,Mackenzie Contracting,yes,,,7/13 11:00:00 A.M.,,,,
19-Jul,,,,,18-429,5:00:00 P.M.,JHU Dundalk Infusion Center,#NAME?,,,Mazzuca Contracting,yes,,,,,,,
20-Jul,,,,,18-429,12:00:00 P.M.,JHU Dundalk Infusion Center,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,,6/10/22 8:00,,,,
20-Jul,,,,,18-434,12:00:00 P.M.,AWF,#NAME?,,,Merrit Properties,yes,,,7/12 10:00:00 A.M.,,,,
20-Jul,,,,,18-446,,Carroll Community College Café Storage,#NAME?,,,Lyons Construction,,,DS,,,,,
20-Jul,C,,,,18-450,,BOA Security Square Decommission,#NAME?,,,Southeast General Construction,,,,,,,,
23-Jul,,,,,18-430,12:00:00 P.M.,Holiday Inn Express,#NAME?,,,Herman/Stewart,,unable to download drawings,,13-Jul,,,,
23-Jul,,,,,18-439,4:30:00 P.M.,SBD B302 Renovation,#NAME?,,,"KasCon, Inc",,concrete ONLY,,,,,,
23-Jul,,,,,18-455,,Weinburg Renaissance Gardens Concrete Work,#NAME?,,,Park Heights Renaissance,,,CB,,,,,
23-Jul,,,,,18-462,,Edgewater ES,#NAME?,,,"Strayer Contracting, Inc",,,,,,,,
24-Jul,,,,,18-432,2:30:00 P.M.,HC Courthouse A & B Vestibule Expansion & Renovation,#NAME?,,,Plano-Coudon LLC,yes,,,7/18 9:00:00 A.M.,,,,
24-Jul,,,CB,,18-441,,Church of the Redeemer Blue Stone Replacement,#NAME?,,,"Shade Construction, Inc",,,,,,,,
24-Jul,No Bid,,,,18-442,2:00:00 P.M.,Wood Lawn Police Dept,#NAME?,,,Rocchi Construction,,a lot of photos not downloaded,DS KE,,,,,
25-Jul,,,,,18-431,,Camp Zama - Japan,#NAME?,,,General Dynamics,,,KJ,,,,,
25-Jul,,,,,18-433,,Brightview BelAir Wellspring Village,#NAME?,,,South Coast Improvement,,,,,,,,
25-Jul,,,,,18-432,9:00:00 A.M.,HC Courthouse A & B Vestibule Expansion & Renovation,#NAME?,,,Lewis Contractors,yes,,,,,,,
25-Jul,,,,,18-433,,Brightview BelAir Wellspring Village,#NAME?,,,G & I Drywall,,,,7/13 9:00:00 A.M.,,,,
25-Jul,,,,,18-449,2:00:00 P.M.,Redwood Tower,#NAME?,,,Plano-Coudon LLC,,,,7/18 1:00:00 P.M.,,,,
25-Jul,,,,,18-433,,Brightview BelAir Wellspring Village,#NAME?,,,G & I Drywall,,,,,,,,
25-Jul,,,,,18-460,,9026 Hilton Ave,#NAME?,,,"Strayer Contracting, Inc",,,DS,,,,,
25-Jul,,,,,18-457,12:00:00 P.M.,MVS Havre de Grace Renovation,#NAME?,,,"Metropolitan Builders, Inc",,,,,,,,
26-Jul,,,,,18-432,5:00:00 P.M.,HC Courthouse A & B Vestibule Expansion & Renovation,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,,,,,,
26-Jul,,,,,18-448,,Harriett Tubman Bldg,#NAME?,,180095,"Shade Construction, Inc",,,,7/20 2:00:00 P.M.,,,,Awarded
26-Jul,,,,,18-451,,Bon Secours New Hope,#NAME?,,,Lyons Construction,,,,,,,,
27-Jul,,,,,18-466,,14800 Sweitzer Lane,#NAME?,,,"KasCon, Inc",,,CB,,,,,
30-Jul,,,,,18-479,5:00:00 P.M.,AACPS Richard Henry Lee ES,#NAME?,,,Horton Mechanical Contractors,,,DS,,,,,
31-Jul,,,,,18-488,5:00:00 P.M.,Holabird Ave Trenches Infill,#NAME?,,,True Line,,,,,,,,
1-Aug,,,,,18-467,,Baywoods of Annapolis,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,,,,,
1-Aug,,,,,18-465,12:00:00 P.M.,Ulta #1507 California MD,#NAME?,,,Desco,,,,,,,,
1-Aug,,,,,18-477,,5900 Holabird,#NAME?,,,Duke Realty,,,CB,,,,,
2-Aug,,,,,18-436,5:00:00 P.M.,Starbucks: Kent Island,#NAME?,,,Mackenzie Contracting,,,,7/12 1:00:00 P.M.,,,,
2-Aug,,,,,18-452,12:00:00 P.M.,Belvedere Pediatric DEMO,#NAME?,,,Korth Companies Inc.,yes,,,,,,,
2-Aug,,,,,18-453,12:00:00 P.M.,Belvedere Urgent Care DEMO,#NAME?,,,Korth Companies Inc.,yes,,,,,,,
2-Aug,,,,,18-454,12:00:00 P.M.,Belvedere Exterior Shell DEMO,#NAME?,,,Korth Companies Inc.,yes,,,,,,,
2-Aug,,,,,18-452A,12:00:00 P.M.,Belvedere Pediatric Concrete,#NAME?,,,Korth Companies Inc.,yes,,,,,,,
2-Aug,,,,,18-453B,12:00:00 P.M.,Belvedere Urgent Care Concrete,#NAME?,,,Korth Companies Inc.,yes,,,,,,,
2-Aug,,,,,18-454C,12:00:00 P.M.,Belvedere Exterior Shell Concrete,#NAME?,,,Korth Companies Inc.,yes,,,,,,,
2-Aug,,,,,18-452,,Belvedere Pediatric DEMO,#NAME?,,,Whiting-Turner Contracting,yes,,,7/26 11:00:00 A.M.,,,,
2-Aug,,,,,18-453,,Belvedere Urgent Care DEMO,#NAME?,,,Whiting-Turner Contracting,yes,,,7/26 11:00:00 A.M.,,,,
2-Aug,,,,,18-454,,Belvedere Exterior Shell DEMO,#NAME?,,,Whiting-Turner Contracting,yes,,,7/26 11:00:00 A.M.,,,,
2-Aug,,,,,18-468,11:00:00 A.M.,HCC Maryland Hall Test Center Renovation,#NAME?,,,"Strayer Contracting, Inc",yes,,,,,,,
2-Aug,,,,,18-469,10:00:00 A.M.,Tory Burch Towson Town Center,#NAME?,,,Sachse Construction,,,,,,,,
2-Aug,,,CB,,18-494,,NG Sykesville Door Openings,#NAME?,,,Supreme Maintenance,,,CB,,,,,
3-Aug,,,,,18-452,5:00:00 P.M.,Belvedere Pediatric,#NAME?,,,Mackenzie Contracting,yes,,,7/24 9:00:00 A.M.,,,,
3-Aug,,,,,18-453,5:00:00 P.M.,Belvedere Urgent Care,#NAME?,,,Mackenzie Contracting,yes,,,7/24 9:00:00 A.M.,,,,
3-Aug,,,,,18-454,5:00:00 P.M.,Belvedere Exterior Shell,#NAME?,,,Mackenzie Contracting,yes,,,7/24 9:00:00 A.M.,,,,
3-Aug,,,,,18-483,,2 Park Center,#NAME?,,,"Strayer Contracting, Inc",,,CB,,,,,
3-Aug,,,,,18-486,5:00:00 P.M.,Allstate Leasing,#NAME?,,,Mackenzie Contracting,,,,,,,,
3-Aug,,,,,18-459,9:00:00 A.M.,NG Chem Lab,#NAME?,,,Lewis Contractors,,,,,,,,
6-Aug,,,,,18-496,10:00:00 A.M.,KeyW Servern Old Telegraph Road,#NAME?,,,Palmer Contracting Group LLC,,,,,,,,
7-Aug,,,,,18-456,4:00:00 P.M.,Asbury Community,#NAME?,,,Wagman Construction Inc,,,,8/1         10:00:00 A.M.-12:00:00 P.M.,,,,
7-Aug,,,,,18-482,5:00:00 P.M.,LPC CH Powell,#NAME?,,,Plano-Coudon LLC,,,,,,,,
7-Aug,,,,,18-458,5:00:00 P.M.,SB&D Towson B100 Battery Lab,#NAME?,,,"KasCon, Inc",,,,,,,,
8-Aug,,,,,18-461,4:00:00 P.M.,Charm City Medical Center,#NAME?,,,Trionfo Builders Group,yes,,,,,,,
8-Aug,,,,,18-481,,328 N Howard Street,#NAME?,,,Trionfo Builders Group,,,,8/1 1:30:00 P.M.,,,,
8-Aug,,,,,18-447,2:00:00 P.M.,LB03 PET MRI Scanner Relocation,#NAME?,,,"Shade Construction, Inc",,,,,,,,
8-Aug,No Bid,,,,18-463,,MISI 7000 Columbia,#NAME?,,,"KasCon, Inc",,,,,,,,
8-Aug,,,,,18-502,,NG Sykesville AHU Removal,#NAME?,,,Bauer Mechanical,,,CB,,,,,
8-Aug,,,,,18-480,5:00:00 P.M.,7067 Columbia Gateway Dr,#NAME?,,,Plano-Coudon LLC,,,,,,,,
9-Aug,,,,,18-447,5:00:00 P.M.,LB03 PET MRI Scanner Relocation,#NAME?,,,"Riparius Construction, Inc",yes,,,7/23         10:00:00 A.M.,,,,
9-Aug,No Bid,,,,18-421,5:00:00 P.M.,MTA JFK Bldg Project,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,,,,,,
9-Aug,,,,,18-420,3:00:00 P.M.,"Davison AAF Fuel Repairs Ft Belvoir, VA",#NAME?,,,KEAR Civil Corp,,,,,,,,
9-Aug,,,,,18-480,5:00:00 P.M.,7067 Columbia Gateway Dr,#NAME?,,,"Riparius Construction, Inc",,,,8/1 10:00:00 A.M.,,,,
9-Aug,No Bid,,,,18-484,4:00:00 P.M.,HHC USPS,#NAME?,,,"KasCon, Inc",,,,,,,,
10-Aug,No Bid,,,,18-409,4:00:00 P.M.,MTA JFK Bldg Project,#NAME?,,,Plano-Coudon LLC,yes,,,,,,,
10-Aug,,,,,18-470,,Charlestown Village Asphalt & Concrete Repairs,#NAME?,,,Erickson Communities,,,CB,,,,,
10-Aug,,,,,18-473,,Waverly Park,#NAME?,,,Rocchi Construction,,,CB,,,,,
10-Aug,,,,,18-474,,Masonic Homes Storm Water Drain Repair,#NAME?,,,Masonic Homes,,,CB,,,,,
10-Aug,,,CB,,18-476,,Ft Meade 9840 Toilet Room,#NAME?,,,"Total Site Contractors, Inc",,,,,,,,
10-Aug,,,,,18-485,,Brightview Avondell,#NAME?,,,South Coast Improvement,,concrete,,,,,,
10-Aug,,,,,18-487,5:00:00 P.M.,9th Floor Office Expansion Interior Package,#NAME?,,,David S. Brown,,,,,,,,
10-Aug,,,,,18-504,2:00:00 P.M.,Robert Fulton Drive Columbia,#NAME?,,,"Strayer Contracting, Inc",,,,,,,,
13-Aug,No Bid,,,,18-478,,Vein Clinic of America Annapolis,#NAME?,,,Loberg Construction,,,,,,,,
13-Aug,No Bid,,,,18-489,10:00:00 A.M.,Chesapeake Bay MS Open Space Classroom Enclosures,#NAME?,,,North Point Builders,,,,,,,,
14-Aug,No Bid,,,,18-471,12:00:00 P.M.,MMG Silver Spring,#NAME?,,,"Jeffrey Brown Contracting, LLC",,,,8/1 12:30:00 P.M.,,,,
14-Aug,No Bid,,,,18-472,12:00:00 P.M.,MMG Olney Refresh,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,,8/2 1:00:00 P.M.,,,,
14-Aug,,,CB,,18-499,12:00:00 P.M.,15kV Electrical Svc Bldg GAF Baltimore,#NAME?,,,"Shade Construction, Inc",,,,,,,,
14-Aug,,,,,18-505,2:00:00 P.M.,UMMC MidTown Fujifilm Devo Ste 2,#NAME?,,,Consolidated Medical Services,,,,8/13 10:00:00 A.M.,,,,
15-Aug,,,,,18-495,5:00:00 P.M.,1 East Pratt 9th Floor White Box,#NAME?,,,"Riparius Construction, Inc",,,,8/7 11:00:00 A.M.,,,,
15-Aug,,,,,18-497,,Spring Grove Sally Port,#NAME?,,,Springfield Hospital Center,,,,8/9 2:00:00 P.M. CB,,,,
15-Aug,,,,,18-498,,Kent Island Solar Field,#NAME?,,,Nexamp Inc,,,CB,,,,,
15-Aug,,,,,18-508,,Lonza Roof Protection,#NAME?,,,Lonza,,,CB,,,,,
15-Aug,,,,,18-512,,IntelSat Hawaii 13M Install,#NAME?,,,General Dynamics,,,JB,,,,,
15-Aug,,,,,18-517,,MPO Bathrooms Ft Meade,#NAME?,,,QED Enterprises,,password 22192,,,,,,
16-Aug,,,,,18-491,5:00:00 P.M.,JHH CE IR 6 & 7 DEMO,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,difficult files to dl,,,,,,
17-Aug,,,,,18-475,4:00:00 P.M.,Med Star Brandywine Ambulatory CT DEMO,#NAME?,,,"Jeffrey Brown Contracting, LLC",yes,,,,,,,
