,params,mean_test_PRECISION,rank_test_PRECISION,mean_test_F1,rank_test_F1,mean_test_RECALL,rank_test_RECALL
10,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 6, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
11,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 6, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
12,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 100, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8076416337285902,73,0.7520302694721299,109,0.7333333333333334,388
13,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 100, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
14,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 100, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
15,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 500, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8076416337285902,73,0.7520302694721299,109,0.7333333333333334,388
16,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 500, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
17,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 500, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
18,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 6, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8076416337285902,73,0.7520302694721299,109,0.7333333333333334,388
19,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 6, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
20,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 6, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
21,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 100, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8076416337285902,73,0.7520302694721299,109,0.7333333333333334,388
22,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 100, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
23,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 100, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
24,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 500, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8076416337285902,73,0.7520302694721299,109,0.7333333333333334,388
25,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 500, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
26,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 500, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 0, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
27,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 6, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8033126293995859,82,0.7419644545282661,118,0.7166666666666667,415
28,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 6, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
29,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 6, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
30,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 100, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8033126293995859,82,0.7419644545282661,118,0.7166666666666667,415
31,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 100, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
32,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 100, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
33,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 500, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8033126293995859,82,0.7419644545282661,118,0.7166666666666667,415
34,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 500, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
35,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 500, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
36,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 6, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8033126293995859,82,0.7419644545282661,118,0.7166666666666667,415
37,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 6, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
38,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 6, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
39,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 100, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8033126293995859,82,0.7419644545282661,118,0.7166666666666667,415
40,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 100, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
41,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 100, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
42,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 500, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8033126293995859,82,0.7419644545282661,118,0.7166666666666667,415
43,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 500, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
44,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 500, 'max_delta_step': 5, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
45,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 6, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8033126293995859,82,0.7419644545282661,118,0.7166666666666667,415
46,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 6, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
47,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 6, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
48,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 100, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8033126293995859,82,0.7419644545282661,118,0.7166666666666667,415
49,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 100, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
50,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 100, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
51,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 500, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.8033126293995859,82,0.7419644545282661,118,0.7166666666666667,415
52,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 500, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
53,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 500, 'max_delta_step': 10, 'grow_policy': 'depthwise', 'gamma': 1, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
54,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 6, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 100, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
55,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 6, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 100, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
56,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 6, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 100, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
57,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 1, 'max_depth': 100, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 100, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
58,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 10, 'max_depth': 100, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 100, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.5128205128205128,145,0.6779661016949152,145,1.0,1
59,"{'verbosity': 0, 'tree_method': 'auto', 'subsample': 0.9, 'sampling_method': 'uniform', 'predictor': 'cpu_predictor', 'n_thread': -1, 'min_child_weight': 100, 'max_depth': 100, 'max_delta_step': 0, 'grow_policy': 'depthwise', 'gamma': 100, 'eta': 0.3, 'colsample_bytree': 0.5, 'colsample_bynode': 0.5, 'colsample_bylevel': 0.5, 'booster': 'gbtree'}",0.0,433,0.0,433,0.0,433
